"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000072071","ADGRL1",15073.3801790492,1437,14736.6796058637,1452,0.0228477908314885,0.0705760089184055,15,0.351005391389761
"ENSG00000072110","ACTN1",10522.1926775584,1964,10336.8078870391,1967,0.0179344331968994,-0.0231526476085049,3,0.0702010782779522
"ENSG00000072274","TFRC",12247.3538711697,1805,11645.8059915398,1849,0.0516536064628675,0.620084227144574,44,1.0296158147433
"ENSG00000072657","TRHDE",8465.66406398948,2067,8275.7437510198,2066,0.0229490325804577,0.0725073263231292,-1,-0.0234003594259841
"ENSG00000072778","ACADVL",14836.8281032935,1464,14802.5649268031,1438,0.00231467834526098,-0.321119688968842,-26,-0.608409345075586
"ENSG00000072832","CRMP1",19785.5644018311,765,19397.9151751481,775,0.019984066492863,0.0159467604726579,10,0.234003594259841
"ENSG00000073670","ADAM11",14188.0669566569,1566,13979.2056521029,1566,0.0149408564228833,-0.0802589993349547,0,0
"ENSG00000073910","FRY",9602.42245657093,2032,9413.80137513026,2028,0.020036654049126,0.0169499361755336,-4,-0.0936014377039363
"ENSG00000073969","NSF",34983.4960082372,127,34145.8074450265,121,0.0245326915920587,0.102717671792213,-6,-0.140402156555904
"ENSG00000074211","PPP2R2C",17172.7536442548,1086,16903.0152810042,1095,0.0159580026856938,-0.0608556178197475,9,0.210603234833857
"ENSG00000074317","SNCB",28974.9363499527,226,28957.6962894527,205,0.000595353315665124,-0.353918039331666,-21,-0.491407547945666
"ENSG00000074696","HACD3",15516.5793612037,1353,15430.0534223361,1338,0.00560762406320353,-0.258302487146202,-15,-0.351005391389761
"ENSG00000074800","ENO1",24674.0519837562,389,24348.8692031904,377,0.0133551491797112,-0.110508417472404,-12,-0.280804313111809
"ENSG00000074842","MYDGF",12873.9724206822,1722,12869.6363667733,1695,0.000336921245116786,-0.35884796558117,-27,-0.63180970450157
"ENSG00000075035","WSCD2",10494.3327012106,1967,10400.5625747372,1963,0.00901587061272446,-0.193285772720571,-4,-0.0936014377039363
"ENSG00000075043","KCNQ2",18160.8572633306,948,17808.7655007626,959,0.0197707001393752,0.0118765211072842,11,0.257403953685825
"ENSG00000075089","ACTR6",10336.1940156629,1981,10297.8712265186,1975,0.00372142827399588,-0.294284113239237,-6,-0.140402156555904
"ENSG00000075340","ADD2",13796.2658681853,1603,13549.4980735253,1606,0.0182123199930356,-0.0178515972870186,3,0.0702010782779522
"ENSG00000075415","SLC25A3",20870.5635274777,652,20658.2366980156,642,0.0102780712877831,-0.169207661103423,-10,-0.234003594259841
"ENSG00000075618","FSCN1",17648.3211485342,1016,17487.8775545222,1009,0.00917456069279116,-0.190258554041416,-7,-0.163802515981889
"ENSG00000075624","ACTB",42940.6189307461,71,39404.097024204,79,0.0897501065528732,1.34682427689716,8,0.187202875407873
"ENSG00000075785","RAB7A",18386.5354037393,920,18251.4380468387,904,0.00740201164171203,-0.224072221505008,-16,-0.374405750815745
"ENSG00000075945","KIFAP3",19378.2475699205,811,19119.3946928026,806,0.0135387590076429,-0.107005822347632,-5,-0.11700179712992
"ENSG00000076554","TPD52",16898.4940794468,1143,16875.1956109795,1106,0.00138063397926937,-0.338937794238569,-37,-0.865813298761411
"ENSG00000076864","RAP1GAP",14979.1013741379,1447,14792.0781531872,1440,0.0126434716619157,-0.124084587290328,-7,-0.163802515981889
"ENSG00000077264","PAK3",15254.7637067254,1400,14819.6920101104,1436,0.0293576746614019,0.194760469098671,36,0.842412939335427
"ENSG00000077549","CAPZB",19653.3720139565,780,19556.574471602,753,0.00494961643180462,-0.270854834413028,-27,-0.63180970450157
"ENSG00000077782","FGFR1",9105.89302002507,2052,8998.83838468765,2044,0.0118964949431226,-0.13833413505711,-8,-0.187202875407873
"ENSG00000078018","MAP2",28666.0651474676,238,28227.4297139341,229,0.0155393331230921,-0.0688422816349579,-9,-0.210603234833857
"ENSG00000078053","AMPH",18981.5523713249,851,18778.7690594464,843,0.0107985412268806,-0.159279023340353,-8,-0.187202875407873
"ENSG00000078114","NEBL",16363.4763944047,1223,16236.742592506,1208,0.00780537113135153,-0.216377617148276,-15,-0.351005391389761
"ENSG00000078140","UBE2K",12728.3094330406,1750,12607.3533595722,1734,0.00959408926034004,-0.182255503594976,-16,-0.374405750815745
"ENSG00000078304","PPP2R5C",16014.6594111611,1288,15902.3932953731,1267,0.00705969936114516,-0.230602271331694,-21,-0.491407547945666
"ENSG00000078328","RBFOX1",20031.0140649686,738,19636.7787323887,745,0.0200763749468597,0.017707663712894,7,0.163802515981889
"ENSG00000078369","GNB1",22402.8343721444,516,22271.3223813477,497,0.00590499246272492,-0.252629800023961,-19,-0.444606829093697
"ENSG00000078668","VDAC3",18118.0356437612,952,18013.1142549016,934,0.00582472233145545,-0.254161056676268,-18,-0.421206469667713
"ENSG00000078725","BRINP1",13234.8676401331,1676,13074.124102524,1672,0.0122947844420536,-0.13073624733553,-4,-0.0936014377039363
"ENSG00000078804","TP53INP2",17024.6276718748,1117,16625.9493583863,1150,0.0239792811162037,0.0921606506536237,33,0.772211861057475
