"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank","nSD.bin_dev","nSD.bin_rank"
"ENSG00000115762","PLEKHB2",27317.8819188668,885,27242.8949967365,831,0.00275253133484292,-0.455254963424952,-54,-0.724280422853335,"[0,5)","[0,6)"
"ENSG00000173272","MZT2A",28847.8072617066,768,28586.1814111475,732,0.00915217904749635,-0.357886232941561,-36,-0.482853615235557,"[0,5)","[0,6)"
"ENSG00000150551","LYPD1",15418.5527467469,2132,15124.5523892949,2129,0.0194386154303734,-0.201381172542911,-3,-0.0402378012696297,"[0,5)","[0,6)"
"ENSG00000169554","ZEB2",26952.4961587121,920,26193.1601675109,936,0.0289898578997392,-0.0560618681783265,16,0.214601606771359,"[0,5)","[0,6)"
"ENSG00000168280","KIF5C",30534.1516666278,645,29945.0512473206,634,0.0196727136795236,-0.197819437530048,-11,-0.147538604655309,"[0,5)","[0,6)"
"ENSG00000157827","FMNL2",28374.6332670885,805,26884.5543596269,865,0.0554250923236165,0.346142336092873,60,0.804756025392595,"[0,5)","[0,6)"
"ENSG00000162989","KCNJ3",16656.0425427096,2035,16436.2508421037,2028,0.0133723744372965,-0.2936772192666,-7,-0.0938882029624694,"[0,5)","[0,6)"
"ENSG00000153234","NR4A2",13156.7449787536,2267,10893.8058836702,2309,0.207727135883293,2.66337248645115,42,0.563329217774816,"[0,5)","[0,6)"
"ENSG00000136541","ERMN",49005.9416222979,142,41367.2871395808,207,0.184654470014988,2.31232875946248,65,0.871819027508644,"[0,5)","[0,6)"
"ENSG00000144283","PKP4",23932.1698600354,1257,22266.0234557042,1408,0.0748290958933806,0.641368460829006,151,2.0253026639047,"[0,5)","[0,6)"
"ENSG00000136535","TBR1",11484.261223514,2308,10765.8404427443,2311,0.0667315092203423,0.51816609567787,3,0.0402378012696297,"[0,5)","[0,6)"
"ENSG00000144290","SLC4A10",19212.9925929964,1806,19165.4353599049,1775,0.00248140635464128,-0.459380049103086,-31,-0.415790613119507,"[0,5)","[0,6)"
"ENSG00000136531","SCN2A",23994.9775122944,1243,23631.6109110156,1229,0.0153762941784656,-0.26318817831479,-14,-0.187776405924939,"[0,5)","[0,6)"
"ENSG00000178662","CSRNP3",16658.3244276988,2034,16449.795710204,2026,0.0126766752103449,-0.3042620754287,-8,-0.107300803385679,"[0,5)","[0,6)"
"ENSG00000172292","CERS6",13645.4820370192,2243,13588.0169609056,2228,0.00422909952783568,-0.432789418932621,-15,-0.201189006348149,"[0,5)","[0,6)"
"ENSG00000128683","GAD1",26668.3805003022,946,26344.799086042,923,0.0122825538810678,-0.310258513859562,-23,-0.308489809733828,"[0,5)","[0,6)"
"ENSG00000091428","RAPGEF4",29930.9342036838,691,27068.1677331559,845,0.105761368805959,1.1119937639232,154,2.06554046517433,"[0,5)","[0,6)"
"ENSG00000138430","OLA1",22133.678437629,1477,22028.1435021743,1435,0.00479091374379158,-0.424241583265513,-42,-0.563329217774816,"[0,5)","[0,6)"
"ENSG00000138435","CHRNA1",9936.07108838482,2325,8908.49497392092,2326,0.115347891812485,1.25784985113401,1,0.0134126004232099,"[0,5)","[0,6)"
"ENSG00000128656","CHN1",63661.0339925799,71,61669.8441581881,63,0.0322879011869109,-0.00588312360208293,-8,-0.107300803385679,"[0,5)","[0,6)"
"ENSG00000154518","ATP5MC3",34638.7893611583,443,33386.4854171577,437,0.037509307384509,0.0735590137819845,-6,-0.0804756025392595,"[0,5)","[0,6)"
"ENSG00000170144","HNRNPA3",24974.7497469416,1117,24808.5750487358,1082,0.00669827661924773,-0.395221626215828,-35,-0.469441014812347,"[0,5)","[0,6)"
"ENSG00000170035","UBE2E3",26067.6120188976,1004,25658.3307578458,985,0.0159512037207121,-0.254441101165425,-19,-0.254839408040988,"[0,5)","[0,6)"
"ENSG00000115252","PDE1A",19058.7653512963,1818,18602.1172959076,1827,0.0245481763244859,-0.123640728080064,9,0.120713403808889,"[0,5)","[0,6)"
"ENSG00000061676","NCKAP1",32264.6724124282,543,31381.1582229654,537,0.0281542887354691,-0.0687748037036962,-6,-0.0804756025392595,"[0,5)","[0,6)"
"ENSG00000065548","ZC3H15",21010.9905461713,1605,20923.8762482985,1570,0.00416339194703132,-0.433789140169371,-35,-0.469441014812347,"[0,5)","[0,6)"
